Date,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
08-07-2008,418.1,439.9,414,439.8,434.5,424.58,262122,1.11291E+13,255289,0.9739
09-07-2008,446,456.9,440,452,451.75,451.6,104747,4.73037E+12,83217,0.7945
10-07-2008,450,532,441.05,530,498.45,468.17,247021,1.15648E+13,81634,0.3305
11-07-2008,508,508.1,482,500,499.95,499.51,135338,6.76021E+12,92975,0.687
14-07-2008,515,515,481,502,501.65,495.97,110414,5.47624E+12,84283,0.7633
15-07-2008,480.35,497.8,477,484.95,479.85,485.46,44758,2.17281E+12,32464,0.7253
16-07-2008,500,500,444.15,452.3,455,450.71,412815,1.86061E+13,382209,0.9259
17-07-2008,475,484.95,461,465,467.6,465.34,124802,5.8075E+12,110497,0.8854
18-07-2008,461,473,455,464,464.1,465,71613,3.33003E+12,62863,0.8778
21-07-2008,474,505,470,505,498.9,491.02,323713,1.5895E+13,259968,0.8031
22-07-2008,490.15,504,485.05,495,495.05,495.38,25042,1.24053E+12,9704,0.3875
23-07-2008,514.15,529,498,528.95,519,511.97,116969,5.98842E+12,74185,0.6342
24-07-2008,506.2,534,506.2,521.5,520.65,521.24,26647,1.38896E+12,13623,0.5112
25-07-2008,503.25,525,503.25,511.25,509.95,516.79,54204,2.80121E+12,46450,0.8569
28-07-2008,500.25,524.7,500.25,520,515.55,514.8,30877,1.58954E+12,26853,0.8697
29-07-2008,506,515,501.35,510,509.4,508.48,9914,5.04107E+11,5833,0.5884
30-07-2008,483.95,524.95,483.95,520,519.75,515.57,8670,4.46995E+11,2895,0.3339
31-07-2008,501.15,539,494.6,539,533.7,527.66,44391,2.34233E+12,18745,0.4223
01-08-2008,516,532.9,507,507,517.65,519.79,238858,1.24156E+13,208261,0.8719
04-08-2008,510.05,524,510,520,519,516.44,14815,7.65105E+11,7167,0.4838
05-08-2008,505.7,530,501,521.55,526.6,517.14,585044,3.02547E+13,559107,0.9557
06-08-2008,525.1,571.4,525.1,557.1,562.25,553.94,107023,5.92843E+12,62545,0.5844
07-08-2008,566,574.4,545,558.25,560.05,557.51,55986,3.12125E+12,32631,0.5828
08-08-2008,551.2,569,548,548,551.9,556.98,15983,8.90223E+11,7859,0.4917
11-08-2008,554,577,552,562,569.35,570.43,24326,1.38763E+12,13589,0.5586
12-08-2008,569.85,574.9,548.5,555,553.35,562.66,16393,9.22376E+11,8701,0.5308
13-08-2008,543,575,542.25,568.1,570.9,562.65,27582,1.55189E+12,12069,0.4376
14-08-2008,562.05,571,555.15,566,565.85,562.71,132460,7.45361E+12,122735,0.9266
18-08-2008,554.85,560,532.95,545,551.4,542.36,104270,5.65522E+12,82714,0.7933
19-08-2008,554.8,554.85,532.25,548,547.45,547.52,20292,1.11102E+12,13596,0.67
20-08-2008,537.15,573,537.15,540.5,544.25,549.67,25318,1.39167E+12,21220,0.8381
21-08-2008,535,555,512,515,520.15,538.11,18332,9.86467E+11,7572,0.413
22-08-2008,506.1,543,506.1,534.95,531.85,532.31,167796,8.93193E+12,148424,0.8846
25-08-2008,570,570,527.15,540,541.9,545.28,38359,2.09164E+12,32419,0.8451
26-08-2008,541,550,530.1,550,549.05,537.62,410862,2.20888E+13,384132,0.9349
27-08-2008,554.9,585,548.8,575,578.8,568.55,473832,2.69397E+13,428135,0.9036
28-08-2008,576,590,564,585,583.7,582.66,371006,2.16172E+13,287982,0.7762
29-08-2008,578,590.25,568.7,588,588.2,588.22,133642,7.86113E+12,111695,0.8358
01-09-2008,584.3,590,572.65,589,585.8,584.33,166626,9.73639E+12,134512,0.8073
02-09-2008,594.3,608,587,607,603.05,598.85,331224,1.98353E+13,294979,0.8906
04-09-2008,593.6,618,590,614.25,610.3,602.33,238887,1.43889E+13,212297,0.8887
05-09-2008,609.55,614.95,591.15,612,606.95,605.51,126692,7.67128E+12,114784,0.906
08-09-2008,612,618.9,596.05,597.1,598.9,607.64,24334,1.47864E+12,14943,0.6141
09-09-2008,587.15,605,585.2,595,592.15,595.4,39601,2.35783E+12,22965,0.5799
10-09-2008,590,624.9,587.3,620,619.6,615.78,217186,1.33739E+13,162461,0.748
11-09-2008,616,622,610,615.5,617.2,615.25,285350,1.75562E+13,265392,0.9301
12-09-2008,619.95,641.9,607.6,630,632.4,634.67,237619,1.50809E+13,214363,0.9021
15-09-2008,606.7,624.45,606.7,615,615.25,615.15,79035,4.86186E+12,65838,0.833
16-09-2008,605.25,622.5,602,620.05,620.5,615.52,71804,4.41965E+12,53267,0.7418
17-09-2008,609.1,625,587.1,591.7,608.55,617.82,96066,5.93511E+12,82039,0.854
18-09-2008,572,629.5,559,619.95,617.15,600,151516,9.09095E+12,121352,0.8009
19-09-2008,625,625,602.3,608.9,607.8,612.32,269723,1.65156E+13,240526,0.8918
22-09-2008,606,618.95,603,604,607.5,608.06,60266,3.66452E+12,49293,0.8179
