Date,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
29-07-2009,683.5,704,636.3,686,687.5,670.68,5368067,3.60023E+14,1238019,0.2306
30-07-2009,678.5,703,660,686,687.6,687.25,3507302,2.41039E+14,621234,0.1771
31-07-2009,699,713.95,688,697.05,697.75,702.34,2380755,1.6721E+14,344535,0.1447
03-08-2009,701.9,749.9,690.25,749,744.6,724.93,3586199,2.59976E+14,514515,0.1435
04-08-2009,748.9,762.55,715.1,728.15,728.7,739.75,3821197,2.82673E+14,655544,0.1716
05-08-2009,732.4,735.8,702,710.75,714.45,713.83,2349893,1.67742E+14,249336,0.1061
06-08-2009,711.9,742,705.2,718.8,718.5,725.04,4502681,3.2646E+14,1194862,0.2654
07-08-2009,710,724,688.3,691,698.35,711.8,2596505,1.84818E+14,240609,0.0927
10-08-2009,705,716,666.25,670.5,672.8,692.33,2862811,1.98202E+14,699581,0.2444
11-08-2009,673.15,701.2,671.1,693.8,690.6,689.02,1962601,1.35227E+14,247086,0.1259
12-08-2009,680,687.4,648.05,675.8,675.85,668.91,2390787,1.59922E+14,272952,0.1142
13-08-2009,685,731.8,685,729.05,726.85,710.99,2666570,1.89592E+14,645583,0.2421
14-08-2009,731,749.85,718.25,732.2,738.25,736.59,4088637,3.01166E+14,767534,0.1877
17-08-2009,711.65,728.2,680.1,685.7,683.75,701.87,2125970,1.49216E+14,414484,0.195
18-08-2009,685,714.8,680,709,710.3,702.41,2420446,1.70013E+14,309074,0.1277
19-08-2009,713,719.2,683.3,687,689.05,698.39,2399746,1.67597E+14,244794,0.102
20-08-2009,697.2,709.95,691.65,696.9,695.95,702.63,1380794,9.70183E+13,179235,0.1298
21-08-2009,700,704.8,685.25,702,701.25,696.17,1998875,1.39156E+14,568743,0.2845
24-08-2009,715,724,710,714.95,716.45,718.56,1494280,1.07373E+14,444701,0.2976
25-08-2009,710,725.5,710,715,715.1,716.99,1487457,1.06649E+14,183379,0.1233
26-08-2009,722.35,732.5,718.4,724,723.8,724.9,1804624,1.30817E+14,460010,0.2549
27-08-2009,724,728.95,706.1,709.2,711.05,716.77,2105397,1.50908E+14,703801,0.3343
28-08-2009,711,717.9,702,707.05,709.65,709.63,921303,6.53787E+13,111781,0.1213
31-08-2009,702,704,684,687,689.15,693.59,947897,6.57447E+13,298162,0.3146
01-09-2009,695,699.9,663.1,664.9,669.9,683.4,1436880,9.8197E+13,382974,0.2665
02-09-2009,660,674.9,653,667,663.7,662.07,1845727,1.222E+14,573082,0.3105
03-09-2009,680,682.4,666.8,671.5,671.75,675.21,941777,6.35899E+13,170564,0.1811
04-09-2009,678,696.6,674.25,693.5,692.7,688.03,1453060,9.99744E+13,281353,0.1936
07-09-2009,730,750,700,725.1,725.3,717.66,1580769,1.13445E+14,418407,0.2647
08-09-2009,726,754.95,722.35,734.55,736.8,740.16,2725274,2.01715E+14,445584,0.1635
09-09-2009,739.7,744.2,724,729.7,731.05,733.77,1212488,8.89692E+13,194449,0.1604
10-09-2009,736,760.3,731.1,733.9,737.2,747.34,2227071,1.66438E+14,317470,0.1426
